#          chi2            h           Omegam           OmegaK          
        30.3569        0.704083        0.184685        0.193224 
        31.0417        0.706603         0.19942        0.133678 
        32.8555        0.708754        0.186484        0.170024 
        34.7297        0.704593        0.200318        0.240972 
        32.8779        0.702405        0.198489        0.255879 
        34.1227         0.70312        0.197957        0.259956 
        31.3852        0.698404        0.169747        0.247357 
         30.983        0.697923        0.155363        0.292663 
        32.5869        0.697044        0.153788        0.284137 
        34.4923        0.691553        0.169584        0.310248 
        30.8792        0.693883         0.17037        0.332135 
        31.2755        0.694989        0.147613        0.346288 
        32.0906        0.694622        0.202329        0.316076 
         35.511        0.700757        0.186549        0.324315 
        36.9158        0.707021        0.175501        0.272196 
        39.2351        0.706763        0.092577         0.29571 
        36.1493        0.706025        0.136727        0.352626 
        35.1818        0.706479       0.0777408        0.410725 
        31.0048        0.698424        0.108929        0.405619 
        30.4375        0.697827        0.126479        0.388697 
        30.6131        0.698982        0.139135        0.375069 
        36.8731        0.706767        0.113409        0.388406 
        36.2035        0.705495       0.0827218        0.354376 
        33.3972        0.697875        0.121875        0.338638 
        30.6746        0.700217        0.153492        0.336834 
        30.4951        0.696717         0.18848        0.302065 
        30.4342        0.700011        0.179437        0.287763 
        31.0647        0.701866        0.142702         0.28837 
        36.3363         0.70209        0.202586        0.282124 
        31.2951        0.699265        0.177146        0.222156 
        33.4785        0.692359        0.200372        0.245682 
         31.985        0.696401        0.185948        0.229207 
        32.8193        0.694759        0.197919        0.217867 
        33.5703        0.697638        0.247302         0.21418 
        30.6546        0.696185        0.188273        0.249915 
        30.5059        0.701952        0.214302        0.198571 
        38.3146        0.686564        0.284959        0.211297 
          37.47        0.686628        0.254815        0.277996 
        37.6788        0.689629        0.228979         0.35096 
         37.998        0.685818        0.254244        0.271064 
        35.4541        0.701132        0.225623        0.239812 
        32.7187        0.702407        0.226997         0.19709 
        33.8298        0.705347         0.17185        0.155892 
        32.5747         0.70768        0.183696         0.13655 
        30.4787        0.706388        0.221439       0.0937548 
        34.1067        0.705638        0.210528         0.06109 
        33.2931        0.699343          0.2757        0.133863 
        32.1425        0.693142        0.273845        0.136622 
        32.5259        0.706722        0.179026        0.149684 
        32.7962        0.707685        0.183232        0.133382 
        33.5432        0.709861        0.176944        0.159839 
        32.1197        0.708917        0.213421       0.0711366 
        29.8147        0.697821        0.255112        0.125526 
         29.728        0.698556         0.23972        0.160605 
        29.4613         0.69912        0.220311        0.183371 
        30.3078        0.702294        0.212185        0.194206 
        31.5086        0.700793        0.165837        0.230169 
        31.9609        0.704163        0.190355        0.140644 
        33.2107        0.707053        0.208423       0.0666486 
        32.1701        0.708996        0.203562        0.104531 
        29.3512         0.70203        0.265265       0.0615937 
         29.758        0.705138        0.267199       0.0283148 
        29.4254        0.700783        0.256378       0.0720417 
         30.536        0.702933        0.206395        0.133326 
        32.8932        0.706231        0.179191        0.144897 
        31.6255        0.703335        0.239892        0.146611 
        29.8132        0.701003        0.211773        0.153139 
        29.7201        0.699416         0.23364        0.126724 
        30.3375        0.702833         0.20903        0.131833 
        31.6923        0.707214        0.182569        0.170618 
        32.9754        0.707465        0.195094        0.100412 
        29.4756        0.701866        0.222708        0.133046 
         29.503        0.702249        0.221874        0.151159 
        31.3365        0.703656        0.171967        0.198049 
        30.5412        0.703768        0.180167        0.230962 
        33.4755        0.693575        0.167773        0.291956 
        33.3366        0.698944         0.17247        0.354027 
        30.4832        0.699186        0.161205        0.331764 
        29.9332        0.698125         0.16771        0.311804 
        32.9195        0.704106        0.113312        0.323128 
