#          Chi2            h           Omegam           Omegak          
         30.321        0.698503         0.25615       0.0796444 
        30.7665        0.698533        0.266839        0.127026 
        29.9013        0.701146        0.270468       0.0793139 
        32.8363         0.69544        0.342484      -0.0091736 
        31.8696        0.705371        0.315177       -0.141619 
        29.8382        0.703511        0.337502       -0.118194 
        31.4587        0.706879        0.379058       -0.205478 
        31.1009        0.709838         0.35602       -0.214043 
        30.5638        0.708742        0.332437       -0.163398 
        31.6969        0.705218        0.356193       -0.126533 
        33.3798        0.711317         0.31067      -0.0952999 
        33.9265         0.71102        0.280712        -0.12517 
        34.0978        0.713911         0.27803       -0.115735 
        32.0606        0.709066        0.316786       -0.173064 
        35.1418        0.712849        0.286863       -0.157749 
         35.385        0.713606        0.355625       -0.203057 
        32.9537        0.709586        0.315347       -0.184269 
        30.4217        0.707542        0.354704       -0.200412 
        30.0239        0.705971         0.34391       -0.156034 
        30.2166        0.703163        0.348189       -0.150426 
        30.9003        0.708014        0.370512       -0.216341 
        30.4828        0.701592        0.359824       -0.146452 
        30.8916        0.700645        0.368459       -0.147716 
        31.5509        0.698377        0.358657       -0.116213 
        29.9494        0.704108        0.345493        -0.14275 
        30.0512        0.705515        0.348067       -0.164984 
        31.5903        0.701123        0.395793       -0.200616 
        30.0031        0.705864         0.33923       -0.152102 
        30.7889        0.706507        0.303746       -0.111273 
        30.1316        0.702253        0.309564      -0.0712357 
        30.4402        0.700157        0.314024      -0.0565559 
        30.0185        0.699946        0.317985      -0.0322713 
        33.5339        0.709092         0.25631       0.0522961 
        32.3083        0.703564        0.254956        0.121023 
         32.487        0.707028        0.217041        0.147907 
        30.3386        0.695342        0.215675        0.233427 
        32.1241        0.698041        0.189593        0.315493 
        30.0855         0.69993        0.168987        0.297677 
        30.3423        0.695976        0.227121        0.184475 
        33.1053        0.702538         0.17618        0.172474 
        39.5659        0.707072          0.1253        0.211353 
        34.3659         0.69908         0.18494        0.174827 
        29.3644        0.699848        0.231761        0.148402 
        29.6474        0.698194        0.245863        0.134092 
        29.3428        0.700484        0.255442       0.0941399 
        32.8794        0.705676        0.230981        0.147152 
        29.9182         0.70164        0.243976        0.130984 
        32.3152         0.70909        0.217064        0.103315 
        29.6395        0.702145        0.251126        0.102761 
        30.2433        0.704364        0.253291       0.0833086 
        34.2386        0.708697        0.263988       0.0511197 
        29.5056        0.703906        0.251719       0.0683326 
        31.1856        0.699963        0.266731       0.0232317 
        32.1672        0.704265        0.306127      0.00267822 
        31.4894        0.700291        0.314616      -0.0788664 
        32.1241        0.699628        0.348139      -0.0486524 
        32.6688        0.695552        0.350322      -0.0632426 
        35.2985        0.692097        0.356453      -0.0139386 
        29.3074        0.700802        0.242019        0.118303 
        30.8892        0.707298        0.219279        0.094259 
        30.3269        0.700078        0.250309       0.0687911 
